title,date,duration_s,enclosure_url,enclosure_bytes,guid
"My Brother, My Brother and Me: Episode 01",2010-04-12,2295,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/e445207a-6dc2-44bf-8671-59d54b94862f/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=e445207a-6dc2-44bf-8671-59d54b94862f&feed=wjQvYtdl,36764196,http://mbmbam.libsyn.com/index.php?post_id=603414#
"My Brother, My Brother and Me: Episode 02",2010-04-19,2380,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/253cb1ca-422e-4cd5-95c6-e6348f226aac/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=253cb1ca-422e-4cd5-95c6-e6348f226aac&feed=wjQvYtdl,38210640,http://mbmbam.libsyn.com/index.php?post_id=606134#
"My Brother, My Brother and Me: Episode 03",2010-04-26,2423,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/9ce6d7a2-2f19-4168-8864-695c362bb75b/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=9ce6d7a2-2f19-4168-8864-695c362bb75b&feed=wjQvYtdl,38821908,http://mbmbam.libsyn.com/index.php?post_id=608612#
"My Brother, My Brother and Me: Episode 04",2010-05-03,2889,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/a31ad4e2-05cb-42cf-8c38-1bcc6ca58282/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=a31ad4e2-05cb-42cf-8c38-1bcc6ca58282&feed=wjQvYtdl,46346873,http://mbmbam.libsyn.com/index.php?post_id=611027#
"My Brother, My Brother and Me: Episode 05",2010-05-10,2450,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/2c57c680-79ff-4cfd-b151-4b58eed5966c/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=2c57c680-79ff-4cfd-b151-4b58eed5966c&feed=wjQvYtdl,19749095,http://mbmbam.libsyn.com/index.php?post_id=613375#
"My Brother, My Brother and Me: Episode 06",2010-05-17,2382,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/f0d17374-bfcd-4271-a77b-c11b4c906233/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=f0d17374-bfcd-4271-a77b-c11b4c906233&feed=wjQvYtdl,19056248,http://mbmbam.libsyn.com/index.php?post_id=615621#
"My Brother, My Brother and Me: Episode 07",2010-05-24,2868,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/a4e7b491-308f-4291-abb3-6ce2e2b0f362/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=a4e7b491-308f-4291-abb3-6ce2e2b0f362&feed=wjQvYtdl,22960740,http://mbmbam.libsyn.com/index.php?post_id=617850#
"My Brother, My Brother and Me: Episode 08",2010-06-07,2691,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/188fc7b6-3dd2-402d-86e6-6848d68c1ac4/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=188fc7b6-3dd2-402d-86e6-6848d68c1ac4&feed=wjQvYtdl,26963540,http://mbmbam.libsyn.com/index.php?post_id=622053#
"My Brother, My Brother and Me: Episode 09",2010-06-14,2817,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/36ca1125-8229-4024-899e-7a47a1a0d5f3/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=36ca1125-8229-4024-899e-7a47a1a0d5f3&feed=wjQvYtdl,28173610,http://mbmbam.libsyn.com/index.php?post_id=623961#
"My Brother, My Brother and Me: Episode 10",2010-06-21,1721,https://claritaspod.com/measure/prfx.byspotify.com/e/pscrb.fm/rss/p/mgln.ai/e/31/afp-9384.calisto.simplecastaudio.com/dbf86dbd-6a9d-4db2-a354-45de08471376/episodes/37e956de-253f-4843-9062-e197df72d3e6/audio/128/default.mp3?aid=rss_feed&awCollectionId=dbf86dbd-6a9d-4db2-a354-45de08471376&awEpisodeId=37e956de-253f-4843-9062-e197df72d3e6&feed=wjQvYtdl,17258924,http://mbmbam.libsyn.com/index.php?post_id=625861#
